kind,idx,us,extra
expand,0,1127,
rollover,0,16,
rollover,1,23,
rollover,2,10,
rollover,3,11,
rollover,4,12,
rollover,5,19,
rollover,6,9,
rollover,7,9,
rollover,8,21,
rollover,9,16,
rollover,10,12,
rollover,11,10,
rollover,12,8,
rollover,13,11,
rollover,14,14,
rollover,15,7,
rollover,16,7,
rollover,17,26,
rollover,18,7,
rollover,19,11,
rollover,20,8,
rollover,21,7,
rollover,22,10,
rollover,23,10,
rollover,24,8,
rollover,25,19,
rollover,26,25,
rollover,27,16,
rollover,28,7,
rollover,29,8,
rollover,30,8,
rollover,31,8,
rollover,32,20,
rollover,33,22,
rollover,34,12,
rollover,35,6,
rollover,36,11,
rollover,37,10,
rollover,38,6,
rollover,39,22,
rollover,40,12,
rollover,41,9,
rollover,42,10,
rollover,43,8,
rollover,44,7,
rollover,45,17,
rollover,46,7,
rollover,47,6,
rollover,48,6,
rollover,49,6,
rollover,50,8,
rollover,51,18,
rollover,52,15,
rollover,53,8,
rollover,54,7,
rollover,55,21,
rollover,56,19,
rollover,57,18,
rollover,58,20,
rollover,59,15,
rollover,60,15,
rollover,61,14,
rollover,62,9,
rollover,63,11,
rollover,64,16,
rollover,65,11,
rollover,66,9,
rollover,67,9,
rollover,68,8,
rollover,69,6,
rollover,70,7,
rollover,71,8,
rollover,72,9,
rollover,73,17,
rollover,74,10,
rollover,75,9,
rollover,76,11,
rollover,77,22,
rollover,78,25,
rollover,79,12,
rollover,80,11,
rollover,81,17,
rollover,82,19,
rollover,83,14,
rollover,84,16,
rollover,85,16,
rollover,86,18,
rollover,87,9,
rollover,88,7,
rollover,89,7,
rollover,90,6,
rollover,91,7,
rollover,92,6,
rollover,93,11,
rollover,94,22,
rollover,95,21,
rollover,96,6,
rollover,97,7,
rollover,98,7,
rollover,99,7,
rollover,100,6,
rollover,101,11,
rollover,102,16,
rollover,103,15,
rollover,104,12,
rollover,105,15,
rollover,106,11,
rollover,107,39,
rollover,108,7,
rollover,109,8,
rollover,110,6,
rollover,111,7,
rollover,112,10,
rollover,113,55,
rollover,114,7,
rollover,115,8,
rollover,116,9,
rollover,117,7,
rollover,118,7,
rollover,119,17,
rollover,120,33,
rollover,121,21,
rollover,122,6,
rollover,123,6,
rollover,124,40,
rollover,125,7,
rollover,126,7,
rollover,127,7,
rollover,128,9,
rollover,129,7,
rollover,130,7,
rollover,131,21,
rollover,132,12,
rollover,133,13,
rollover,134,7,
rollover,135,10,
rollover,136,11,
rollover,137,10,
rollover,138,35,
rollover,139,7,
rollover,140,9,
rollover,141,9,
rollover,142,6,
rollover,143,9,
rollover,144,8,
rollover,145,7,
rollover,146,12,
rollover,147,8,
rollover,148,8,
rollover,149,13,
rollover,150,24,
rollover,151,15,
rollover,152,14,
rollover,153,17,
rollover,154,20,
rollover,155,18,
rollover,156,18,
rollover,157,10,
rollover,158,19,
rollover,159,17,
rollover,160,22,
rollover,161,17,
rollover,162,16,
rollover,163,16,
rollover,164,15,
rollover,165,15,
rollover,166,15,
rollover,167,15,
rollover,168,14,
rollover,169,16,
rollover,170,13,
rollover,171,16,
rollover,172,20,
rollover,173,12,
rollover,174,13,
rollover,175,18,
rollover,176,14,
rollover,177,9,
rollover,178,9,
rollover,179,8,
rollover,180,4,
rollover,181,8,
rollover,182,7,
rollover,183,19,
rollover,184,19,
rollover,185,12,
rollover,186,19,
rollover,187,6,
rollover,188,8,
rollover,189,10,
rollover,190,4,
rollover,191,9,
rollover,192,4,
rollover,193,8,
rollover,194,14,
rollover,195,8,
rollover,196,22,
rollover,197,8,
rollover,198,22,
rollover,199,8,
rollover,200,13,
rollover,201,20,
rollover,202,13,
rollover,203,10,
rollover,204,10,
rollover,205,8,
rollover,206,7,
rollover,207,14,
rollover,208,20,
rollover,209,7,
rollover,210,8,
rollover,211,10,
rollover,212,3,
rollover,213,8,
rollover,214,6,
rollover,215,10,
rollover,216,8,
rollover,217,8,
rollover,218,7,
rollover,219,9,
rollover,220,9,
rollover,221,7,
rollover,222,7,
rollover,223,7,
rollover,224,6,
rollover,225,25,
rollover,226,8,
rollover,227,19,
rollover,228,10,
rollover,229,5,
rollover,230,7,
rollover,231,6,
rollover,232,21,
rollover,233,22,
rollover,234,16,
rollover,235,7,
rollover,236,7,
rollover,237,7,
rollover,238,18,
rollover,239,14,
rollover,240,18,
rollover,241,10,
rollover,242,5,
rollover,243,8,
rollover,244,18,
rollover,245,8,
rollover,246,11,
rollover,247,8,
rollover,248,15,
rollover,249,8,
rollover,250,6,
rollover,251,6,
rollover,252,8,
rollover,253,7,
rollover,254,21,
rollover,255,8,
rollover,256,23,
rollover,257,16,
rollover,258,3,
rollover,259,4,
rollover,260,19,
rollover,261,8,
rollover,262,9,
rollover,263,31,
rollover,264,7,
rollover,265,7,
rollover,266,3,
rollover,267,25,
rollover,268,8,
rollover,269,8,
rollover,270,7,
rollover,271,7,
rollover,272,7,
rollover,273,7,
rollover,274,7,
rollover,275,8,
rollover,276,4,
rollover,277,7,
rollover,278,19,
rollover,279,8,
rollover,280,6,
rollover,281,5,
rollover,282,4,
rollover,283,7,
rollover,284,20,
rollover,285,15,
rollover,286,20,
rollover,287,15,
rollover,288,15,
rollover,289,14,
rollover,290,11,
rollover,291,10,
rollover,292,8,
rollover,293,7,
rollover,294,14,
rollover,295,7,
rollover,296,8,
rollover,297,18,
rollover,298,7,
rollover,299,6,
rollover,300,15,
rollover,301,6,
rollover,302,5,
rollover,303,7,
rollover,304,19,
rollover,305,21,
rollover,306,8,
rollover,307,16,
rollover,308,15,
rollover,309,15,
rollover,310,15,
rollover,311,16,
rollover,312,19,
rollover,313,18,
rollover,314,14,
rollover,315,17,
rollover,316,19,
rollover,317,24,
rollover,318,15,
rollover,319,15,
rollover,320,16,
rollover,321,15,
rollover,322,12,
rollover,323,12,
rollover,324,17,
rollover,325,20,
rollover,326,13,
rollover,327,12,
rollover,328,8,
rollover,329,7,
rollover,330,14,
rollover,331,7,
rollover,332,21,
rollover,333,6,
rollover,334,7,
rollover,335,7,
rollover,336,15,
rollover,337,12,
rollover,338,12,
rollover,339,14,
rollover,340,18,
rollover,341,13,
rollover,342,20,
rollover,343,18,
rollover,344,18,
rollover,345,18,
rollover,346,21,
rollover,347,18,
rollover,348,18,
rollover,349,21,
rollover,350,15,
rollover,351,18,
rollover,352,18,
rollover,353,16,
rollover,354,19,
rollover,355,12,
rollover,356,6,
rollover,357,9,
rollover,358,7,
rollover,359,5,
rollover,360,6,
rollover,361,8,
rollover,362,16,
rollover,363,9,
rollover,364,6,
rollover,365,8,
rollover,366,6,
rollover,367,18,
rollover,368,20,
rollover,369,16,
rollover,370,14,
rollover,371,20,
rollover,372,24,
rollover,373,15,
rollover,374,19,
rollover,375,15,
rollover,376,19,
rollover,377,16,
rollover,378,18,
rollover,379,21,
rollover,380,16,
rollover,381,28,
rollover,382,14,
rollover,383,17,
rollover,384,17,
rollover,385,16,
rollover,386,17,
rollover,387,21,
rollover,388,17,
rollover,389,16,
rollover,390,18,
rollover,391,16,
rollover,392,9,
rollover,393,19,
rollover,394,15,
rollover,395,14,
rollover,396,13,
rollover,397,17,
rollover,398,20,
rollover,399,19,
rollover,400,17,
rollover,401,14,
rollover,402,18,
rollover,403,20,
rollover,404,15,
rollover,405,21,
rollover,406,13,
rollover,407,16,
rollover,408,13,
rollover,409,20,
rollover,410,14,
rollover,411,15,
rollover,412,15,
rollover,413,15,
rollover,414,14,
rollover,415,18,
rollover,416,13,
rollover,417,15,
rollover,418,14,
rollover,419,13,
rollover,420,19,
rollover,421,16,
rollover,422,16,
rollover,423,11,
rollover,424,14,
rollover,425,16,
rollover,426,16,
rollover,427,15,
rollover,428,16,
rollover,429,19,
rollover,430,15,
rollover,431,13,
rollover,432,15,
rollover,433,13,
rollover,434,21,
rollover,435,3,
rollover,436,10,
rollover,437,4,
rollover,438,11,
rollover,439,7,
rollover,440,9,
rollover,441,10,
rollover,442,5,
rollover,443,8,
rollover,444,6,
rollover,445,24,
rollover,446,7,
rollover,447,19,
rollover,448,20,
rollover,449,17,
rollover,450,14,
rollover,451,20,
rollover,452,16,
rollover,453,12,
rollover,454,7,
rollover,455,14,
rollover,456,13,
rollover,457,7,
rollover,458,12,
rollover,459,19,
rollover,460,19,
rollover,461,15,
rollover,462,19,
rollover,463,15,
rollover,464,17,
rollover,465,13,
rollover,466,16,
rollover,467,14,
rollover,468,11,
rollover,469,8,
rollover,470,14,
rollover,471,16,
rollover,472,21,
rollover,473,8,
rollover,474,8,
rollover,475,19,
rollover,476,8,
rollover,477,9,
rollover,478,8,
rollover,479,8,
rollover,480,10,
rollover,481,12,
rollover,482,29,
rollover,483,11,
rollover,484,18,
rollover,485,16,
rollover,486,10,
rollover,487,11,
rollover,488,15,
rollover,489,15,
rollover,490,20,
rollover,491,18,
rollover,492,16,
rollover,493,18,
rollover,494,15,
rollover,495,18,
rollover,496,14,
rollover,497,14,
rollover,498,12,
rollover,499,4,
rollover,500,12,
rollover,501,18,
rollover,502,13,
rollover,503,14,
rollover,504,10,
rollover,505,10,
rollover,506,8,
rollover,507,13,
rollover,508,19,
rollover,509,16,
rollover,510,10,
rollover,511,20,
rollover,512,11,
rollover,513,11,
rollover,514,8,
rollover,515,16,
rollover,516,7,
rollover,517,7,
rollover,518,6,
rollover,519,6,
rollover,520,7,
rollover,521,9,
rollover,522,6,
rollover,523,6,
rollover,524,7,
rollover,525,7,
rollover,526,9,
rollover,527,27,
rollover,528,7,
rollover,529,7,
rollover,530,11,
rollover,531,6,
rollover,532,6,
rollover,533,7,
rollover,534,7,
rollover,535,6,
rollover,536,16,
rollover,537,21,
rollover,538,5,
rollover,539,20,
rollover,540,11,
rollover,541,6,
rollover,542,6,
rollover,543,17,
rollover,544,21,
rollover,545,7,
rollover,546,23,
rollover,547,12,
rollover,548,7,
rollover,549,24,
rollover,550,9,
rollover,551,20,
rollover,552,11,
rollover,553,9,
rollover,554,14,
rollover,555,13,
rollover,556,16,
rollover,557,16,
rollover,558,10,
rollover,559,9,
rollover,560,16,
rollover,561,12,
rollover,562,12,
rollover,563,14,
rollover,564,14,
rollover,565,15,
rollover,566,12,
rollover,567,14,
rollover,568,16,
rollover,569,17,
rollover,570,19,
rollover,571,13,
rollover,572,15,
rollover,573,15,
rollover,574,15,
rollover,575,14,
rollover,576,16,
rollover,577,14,
rollover,578,14,
rollover,579,21,
rollover,580,13,
rollover,581,14,
rollover,582,16,
rollover,583,16,
rollover,584,13,
rollover,585,12,
rollover,586,7,
rollover,587,13,
rollover,588,10,
rollover,589,10,
rollover,590,4,
rollover,591,8,
rollover,592,4,
rollover,593,29,
rollover,594,20,
rollover,595,14,
rollover,596,10,
rollover,597,8,
rollover,598,5,
rollover,599,6,
rollover,600,20,
rollover,601,13,
rollover,602,6,
rollover,603,7,
rollover,604,7,
rollover,605,6,
rollover,606,8,
rollover,607,7,
rollover,608,10,
rollover,609,9,
rollover,610,11,
rollover,611,7,
rollover,612,17,
rollover,613,7,
rollover,614,9,
rollover,615,8,
rollover,616,7,
rollover,617,14,
rollover,618,8,
rollover,619,14,
rollover,620,22,
rollover,621,3,
rollover,622,6,
rollover,623,18,
